Economy,Year,Economy Code,"Inflation, consumer prices (annual %)"
Solomon Islands,2016,SLB,0.512485626268801
Sierra Leone,2016,SLE,10.8860609413903
El Salvador,2016,SLV,0.604049086996682
San Marino,2016,SMR,0.573948019801976
Somalia,2016,SOM,
Serbia,2016,SRB,1.12231397417765
South Sudan,2016,SSD,379.999585624026
Sao Tome and Principe,2016,STP,5.43051966119159
Suriname,2016,SUR,55.4123879763194
Slovak Republic,2016,SVK,-0.520010196278324
Slovenia,2016,SVN,-0.0549995416704911
Sweden,2016,SWE,0.984269244577978
Eswatini,2016,SWZ,7.84727459085681
Sint Maarten (Dutch part),2016,SXM,0.111682655737255
Seychelles,2016,SYC,-1.01548191697644
Syrian Arab Republic,2016,SYR,
Turks and Caicos Islands,2016,TCA,
Chad,2016,TCD,-0.792440525236028
Togo,2016,TGO,1.28544847051414
Thailand,2016,THA,0.188149704448173
Tajikistan,2016,TJK,6.00458082322154
Turkmenistan,2016,TKM,
Timor-Leste,2016,TLS,-1.46984287886469
Tonga,2016,TON,2.57815515245079
Trinidad and Tobago,2016,TTO,3.07066742464024
Tunisia,2016,TUN,3.62939937384383
Turkiye,2016,TUR,7.77513415328334
Tuvalu,2016,TUV,
Tanzania,2016,TZA,5.17476629301494
Uganda,2016,UGA,5.70637504616216
Ukraine,2016,UKR,13.9127101997796
Uruguay,2016,URY,9.63941347635073
United States,2016,USA,1.26158320570537
Uzbekistan,2016,UZB,8.13088669523599
St. Vincent and the Grenadines,2016,VCT,-0.149641647633301
"Venezuela, RB",2016,VEN,254.948534781815
British Virgin Islands,2016,VGB,
Virgin Islands (U.S.),2016,VIR,
Vietnam,2016,VNM,2.66824816969083
Vanuatu,2016,VUT,0.842069084035039
Samoa,2016,WSM,1.30471869303168
Kosovo,2016,XKX,0.273169431045511
"Yemen, Rep.",2016,YEM,
South Africa,2016,ZAF,6.57139642173959
Zambia,2016,ZMB,17.8697300795268
Zimbabwe,2016,ZWE,-1.54366960054161
